timestamp;TIME;latitude;longitude;locked
20250715_153347.249012;20250715;0;0;searching
20250715_153347.576205;20250715;0;0;searching
20250715_153347.902169;20250715;0;0;searching
20250715_153348.236694;20250715;0;0;searching
20250715_153348.561375;20250715;0;0;searching
20250715_153348.883166;20250715;0;0;searching
20250715_153349.213866;20250715;0;0;searching
20250715_153349.540628;20250715;0;0;searching
20250715_153349.867949;20250715;0;0;searching
20250715_153350.197089;20250715;0;0;searching
20250715_153350.536892;20250715;0;0;searching
20250715_153350.861019;20250715;0;0;searching
20250715_153351.189201;20250715;0;0;searching
20250715_153351.538622;20250715;0;0;searching
20250715_153351.874674;20250715;0;0;searching
