timestamp,latitude,longitude,locked
20250715_153354.500143,0.0,0.0,searching
20250715_153354.827856,0.0,0.0,searching
20250715_153355.153111,0.0,0.0,searching
20250715_153355.479993,0.0,0.0,searching
20250715_153355.815021,0.0,0.0,searching
20250715_153356.145757,0.0,0.0,searching
20250715_153356.476568,0.0,0.0,searching
20250715_153356.813707,45.87063,8.979436666666667,locked
20250715_153357.145591,0.0,0.0,searching
20250715_153357.477238,0.0,0.0,searching
20250715_153357.819308,0.0,0.0,searching
20250715_153358.158708,0.0,0.0,searching
20250715_153358.493043,0.0,0.0,searching
20250715_153358.825514,45.87066166666667,8.979356666666666,locked
20250715_153359.174737,0.0,0.0,searching
20250715_153359.510517,0.0,0.0,searching
20250715_153359.842619,0.0,0.0,searching
20250715_153400.173093,0.0,0.0,searching
20250715_153400.507195,0.0,0.0,searching
20250715_153400.846863,45.87069666666666,8.979268333333332,locked
20250715_153401.175961,0.0,0.0,searching
20250715_153401.507097,0.0,0.0,searching
20250715_153401.843118,0.0,0.0,searching
20250715_153402.173326,0.0,0.0,searching
20250715_153402.504462,0.0,0.0,searching
20250715_153402.839686,45.87074166666666,8.979183333333333,locked
20250715_153403.177803,0.0,0.0,searching
20250715_153403.543466,0.0,0.0,searching
20250715_153403.912617,0.0,0.0,searching
20250715_153404.253286,0.0,0.0,searching
20250715_153404.597448,0.0,0.0,searching
20250715_153404.922254,45.870756666666665,8.979161666666666,locked
20250715_153405.250536,0.0,0.0,searching
20250715_153405.584828,0.0,0.0,searching
20250715_153405.917573,0.0,0.0,searching
20250715_153406.266705,0.0,0.0,searching
20250715_153406.611659,0.0,0.0,searching
20250715_153406.934085,45.87077333333333,8.979138333333333,locked
20250715_153407.271670,0.0,0.0,searching
20250715_153407.603322,0.0,0.0,searching
20250715_153407.933967,0.0,0.0,searching
20250715_153408.263045,0.0,0.0,searching
20250715_153408.585118,0.0,0.0,searching
20250715_153408.922159,45.87078499999999,8.979125,locked
20250715_153409.259004,0.0,0.0,searching
20250715_153409.584545,0.0,0.0,searching
20250715_153409.915691,0.0,0.0,searching
20250715_153410.241127,0.0,0.0,searching
20250715_153410.570679,0.0,0.0,searching
20250715_153410.900986,45.870801666666665,8.979106666666667,locked
20250715_153411.245533,0.0,0.0,searching
20250715_153411.599691,0.0,0.0,searching
20250715_153411.927856,0.0,0.0,searching
20250715_153412.264006,0.0,0.0,searching
20250715_153412.598913,0.0,0.0,searching
20250715_153412.926633,0.0,0.0,searching
20250715_153413.264390,0.0,0.0,searching
20250715_153413.593176,0.0,0.0,searching
20250715_153413.932053,0.0,0.0,searching
20250715_153414.276233,45.87082999999999,8.979065,locked
20250715_153414.607080,0.0,0.0,searching
20250715_153414.936531,0.0,0.0,searching
20250715_153415.265541,0.0,0.0,searching
20250715_153415.599017,0.0,0.0,searching
20250715_153415.942287,0.0,0.0,searching
20250715_153416.279883,45.87083833333333,8.979045000000001,locked
20250715_153416.640732,0.0,0.0,searching
20250715_153416.976073,0.0,0.0,searching
20250715_153417.309223,0.0,0.0,searching
20250715_153417.642217,0.0,0.0,searching
20250715_153417.972198,0.0,0.0,searching
20250715_153418.301338,45.87083833333333,8.979026666666666,locked
20250715_153418.630039,0.0,0.0,searching
20250715_153418.964689,0.0,0.0,searching
20250715_153419.289166,0.0,0.0,searching
20250715_153419.620408,0.0,0.0,searching
20250715_153419.945208,0.0,0.0,searching
20250715_153420.278571,45.87083833333333,8.979025,locked
20250715_153420.616565,0.0,0.0,searching
20250715_153420.947135,0.0,0.0,searching
20250715_153421.279112,0.0,0.0,searching
20250715_153421.622065,0.0,0.0,searching
20250715_153421.954433,0.0,0.0,searching
20250715_153422.286236,45.87084166666667,8.979023333333334,locked
20250715_153422.618150,0.0,0.0,searching
20250715_153422.946133,0.0,0.0,searching
20250715_153423.276326,0.0,0.0,searching
20250715_153423.604849,0.0,0.0,searching
20250715_153423.927498,0.0,0.0,searching
20250715_153424.252851,45.87084166666667,8.979015,locked
20250715_153424.571135,0.0,0.0,searching
20250715_153424.890727,0.0,0.0,searching
20250715_153425.223335,0.0,0.0,searching
20250715_153425.545692,0.0,0.0,searching
20250715_153425.866967,0.0,0.0,searching
20250715_153426.188408,45.87083500000001,8.979011666666667,locked
20250715_153426.520997,0.0,0.0,searching
20250715_153426.857578,0.0,0.0,searching
20250715_153427.188078,0.0,0.0,searching
20250715_153427.518940,0.0,0.0,searching
20250715_153427.853293,0.0,0.0,searching
20250715_153428.184693,45.870828333333336,8.979001666666667,locked
20250715_153428.517967,0.0,0.0,searching
20250715_153428.893273,0.0,0.0,searching
20250715_153429.248105,0.0,0.0,searching
20250715_153429.580437,0.0,0.0,searching
20250715_153429.918341,0.0,0.0,searching
20250715_153430.242380,45.87081666666666,8.978996666666665,locked
20250715_153430.568443,0.0,0.0,searching
20250715_153430.893125,0.0,0.0,searching
20250715_153431.214572,0.0,0.0,searching
20250715_153431.559270,0.0,0.0,searching
20250715_153431.893361,0.0,0.0,searching
20250715_153432.219098,45.870806666666674,8.978983333333334,locked
20250715_153432.556525,0.0,0.0,searching
20250715_153432.886268,0.0,0.0,searching
20250715_153433.231106,0.0,0.0,searching
20250715_153433.566116,0.0,0.0,searching
20250715_153433.899129,0.0,0.0,searching
20250715_153434.233190,45.87079833333334,8.978975,locked
20250715_153434.568006,0.0,0.0,searching
20250715_153434.903066,0.0,0.0,searching
20250715_153435.257167,0.0,0.0,searching
20250715_153435.601990,0.0,0.0,searching
20250715_153435.941337,0.0,0.0,searching
20250715_153436.297280,45.87078833333333,8.978964999999999,locked
20250715_153436.647107,0.0,0.0,searching
20250715_153436.988471,0.0,0.0,searching
20250715_153437.328006,0.0,0.0,searching
20250715_153437.670152,0.0,0.0,searching
20250715_153438.011039,0.0,0.0,searching
20250715_153438.344441,45.870775,8.978956666666667,locked
20250715_153438.677006,0.0,0.0,searching
20250715_153439.020734,0.0,0.0,searching
20250715_153439.353782,0.0,0.0,searching
